Name,Date,Rate,Comment
Alice,07/03/2019,2,"I really wish they would bring back the recommendations tab in the menu, that was on older versions. It was so easy to find recs for kindle books or any other department based on what your interests had shown. Just can't find an easy way of doing it on the newer versions so I guess i'll go back and install an old version again. What do you think Amazon?"
Kirk Davis,07/03/2019,1,"Treasure truck keeps crashing sigh. Update: still crashing every time I try to select a pick up location for the treasure truck; very bad. (Just to be clear, Amazon itself is fabulous: but this app needs FIXING.) Update: Still crashing after today's update."
A Google user,07/03/2019,1,Browsing history keeps recording even when the setting is turned off. Toggling that switch through the app or through the desktop does nothing. The setting is either broken or ignored by amazon.....
stephen chiusano,07/03/2019,2,"The latest version is much improved, but it still wants to load the ""ads"" before the main content of the page, such as the status if orders"
Ben Kosto,07/03/2019,5,"Works nicely.... I would like it if the settings were easier to navigate, maybe by adding a search bar just for finding certain account settings & options. It can be hard to find a specific setting sometimes. Other than that it's great!"
Douglas Sines,07/03/2019,3,I'm tired of this app being a glorified wrapper of the mobile website. There's a lot you can miss using this app versus the mobile and desktop experiences that it's insane this still exists in some form.
A Google user,07/03/2019,5,L💕VE this APP L💝VE AMAZON 😊 the DETAIL'S .&. DESCRIPTION'S of the PRODUCT are EXCALLENT YOU can READ about the PRODUCT'S what they are SUPPOSE TO BE .&. what YOU are BUYING ! ..... plus the 👍 ( A - Z ) REFUND POLICY .&. their COSTOMER SERVICE is EXCALLANT👍 (PLUS) if YOUR DISABLE (like) Me.. its DELIVERD too YOUR DOOR with OUT LEAVING YOUR HOME ... its a FIVE STAR'S ***** APP ... L💕VE AMAZON I can GO ON & NO 👍YOU GOTTA SRUFF the 💦BLUE WAVE💦 👍 ride IT (AMAZON) is NUMBER #1 . ☺ kevin h 😊
Justin Silaphet,07/03/2019,1,I ordered a digital game code for ps4 and it gave me a code that was 8 more numbers than the the actual code limit
Wael Mahmoud,07/03/2019,5,I like it as amazon as well
Luke Stracey,07/03/2019,2,Vague change logs
A Google user,07/03/2019,5,fast delivery and fun to shop! easy to use. and a bit addicting.
A Google user,07/03/2019,5,amazing things for epic prices I'm Impressed
John Pollock,07/03/2019,4,Well done
Vida Awuku,07/03/2019,5,fastest save durable quality best
Geoff Baker,07/03/2019,4,As expected
Deven,07/03/2019,5,Jungle of goods
A Google user,07/03/2019,5,my favorite place to shop
A Google user,07/03/2019,5,love shopping with them😍
Tony Sheppard,07/03/2019,5,This is an excellent app
Alan Rios,07/03/2019,3,rmm
Baba Yasin,07/03/2019,5,Nicr
Ronald Studman,07/03/2019,5,fast and efficient
Steven Hayes,07/03/2019,5,very good
A Google user,07/03/2019,5,"Excellent,Excellent,Excellent"
nweke chukwuka,07/03/2019,5,excellent 👍
Donna Brown,07/03/2019,4,Good
My My Walker,21/02/2019,5,I adore this app and all the support behind it. Never had a problem with it or anyone involved and if there was it was quickly resolved with a quick phone call to the wonderful staff at Amazon. Definately recommend looking into Prime membership if you are new it puts an end to many issues super fast plus you get next day shipping in most cases. Hint on services? you can get a huge discount on Prime membership as well. A quick photo copy of a food stamps card and membership is deeply discounted.
James Quinn Visuals,27/02/2019,2,"Convenient & reliable about 40% of the time. I've lost soo much money by making business related purchases for clients. I'd pay extra for faster shipping fost my important purchases & they almost ALWAYS are late. My business has suffered. I'd honestly rather paying more & be assured that I'm getting my lenses, camera bodies, computers, vinyl, paint, etc etc ON TIME. I got a free year of prime. and I give you my word that I will never patronize this organization again."
Jamise Brown,03/03/2019,2,"Friday, I ordered my girlfriend a dildo for her bridal party on Sunday. I paid $3.99 for expedited shipping ( but was offered free shipping if I used a Monday delivery date) to get it delivered on Sunday between 7:30am-1pm. The party is @ 3:30pm. 7:30am Today(Sunday) I recieved an email from Amazon stating my package delivery date is now Monday in which I could have gotten that time for free. Be careful of Amazon's new tricks. Dont depend on them to give you accurate shipping info. SMDH..."
Tonja Amen Ra,21/02/2019,3,"Average some things do not arrive on the date of which Amazon denotes. In my humble opinion, Nothing Should be Not Apart of the items . I was ' told ' that it Would be sent on Tuesday. So I call / text today [ thru text msg] I today was told , that the foundation brush would have arrived with the other items. Thus Far on (Wednesday) the brush was Not Apart of the other items. I look forward too your response. As well ... how does this work , if I DO NOT receive the foundation brush?"
Alex Miller,23/02/2019,1,"huge fan of Amazon and this service(not a huge fan of what they have done to my home town of Issaquah, WA with them making it impossible to live here with increasing the cost of living to make me move) but I'm very upset with them making me switch apps. the previous app was way more smooth, easy to use and looked nicer, it seems like I'm taking a huge step back with this new app. I'll be looking elsewhere until the user experience is improved."
Keith C.,28/02/2019,1,The geniuses at Amazon now require you to have 3 levels of authentication to simply log into you account. How freaking stupid is this. if someone can get past my password plus a second level of authentication they deserve access to my account but forcing me to have so many multiple layers of authentication is tedious and extremely annoying. Using the app as a seller is an absolute don't.
Victoria Gross,23/02/2019,5,it's a cool app. I can usually find all I need on here. prime is the best thing to have. I dont have it but my bf do and it comes in handy! I've never really had a problem with the items before. but one time my guy did and they was super helpful and explained everything clearly.
Its Omar,28/02/2019,1,"it would be good if not orders that shows 2 stops away delivered 4 h later, or showing on the way and then magically changing to "" expected delivery"" in sometimes 6 weeks! but my winner - shows 8 stops away, then cancelled, then waiting to be in stock just to magically disappear in my orders list ( after 3 months ) without money being returned, so be aware ."
Travis Tabor,24/02/2019,3,"I am a big Amazon shopper. Your search algorithms leave me frustrated more often than not. No matter how specific I get when searching accessories for my phone, I ALWAYS wind up with items not relevant to my phone. I have once purchased an item that was not for my phone (my fault), but your algorithm did not help."
Tillie Wolf,24/02/2019,5,"I really like how fast and secure my account is. I can look at different price options for a product without being forced to purchase one particular vendor. The fact that I can track my products from the time its pulled off the shelves and on route to me, is also an added plus."
Jason Treichler,06/03/2019,2,"The WORST customer service most of the time. Occasionally, u get someone who helps but if u get Reanna or Meenu, dont even try. Sarcastic, rude and completely unhelpful. And the sadest part of all, Reanna is the supervisor and was by far the most disrespectful customer service rep I've ever had to deal with. She shouldn't even be allowed to work at McDonald's."
amil khaya mfo,28/02/2019,1,it works for some people but in my case no one helped me when i called several times for them to allow me to purchase something as they blocked my account for no reason asking me for my billing adress when i did what they asked no one helped me. so im sure many others go thru what im going thru. so im unsatisfied with the service to help customers when they need help
